과속방지턱,위도,경도
1,37.485249,127.081674
1,37.485245,127.081680
1,37.485232,127.081683
1,37.485219,127.081696
1,37.485226,127.081701
1,37.485214,127.081708
1,37.485276,127.081695
1,37.485253,127.081703
2,37.485776,127.085798
2,37.485762, 127.085813
2,37.485760, 127.085810
2,37.485751, 127.085813
2,37.485811, 127.085810
2,37.485807, 127.085807
2,37.485790, 127.085807
3,37.485614,127.086149
3,37.485629, 127.086181
3,37.485644, 127.086176
3,37.485655, 127.086136
3,37.485672, 127.086203
3,37.485685, 127.086117
3,37.485679, 127.086155
4,37.484714,127.086372
4,37.484722, 127.086390
4,37.484745, 127.086326
4,37.484762, 127.086353
4,37.484773, 127.086302
4,37.484790, 127.086407
4,37.484794, 127.086375
5,37.484088,127.086528
5,37.484092,127.086498
5,37.484101,127.086552
5,37.484097,127.086493
5,37.484093,127.086466
5,37.484114,127.086555
5,37.484116,127.086525
6,37.483265,127.086713
6,37.483267,127.086683
6,37.483265,127.086672
6,37.483280,127.086688
6,37.483295,127.086718
6,37.483304,127.086756
7,37.481864,127.086769
7,37.481860, 127.086793
7,37.481851, 127.086817
7,37.481894, 127.086755
7,37.481877, 127.086806
7,37.481896, 127.086785
8,37.481533,127.085654
8,37.481527, 127.085659
8,37.481521, 127.085658
8,37.481510, 127.085663
8,37.481499, 127.085668
8,37.481578, 127.085644
9,37.481506,127.085367
9,37.481502, 127.085372
9,37.481487, 127.085359
9,37.481481, 127.085367
9,37.481477, 127.085372
9,37.481471, 127.085372
9,37.481522, 127.085335
10,37.481387,127.084572
10,37.481379, 127.084575
10,37.481374, 127.084589
10,37.481374, 127.084586
10, 37.481378, 127.084583
10,37.481415, 127.084585
10,37.481408, 127.084592
11,37.481272,127.083778
11,37.481268, 127.083779
11,37.481300, 127.083760
11,37.481298, 127.083771
11,37.481281, 127.083774
11,37.481279, 127.083782
12,37.481093,127.082485
12,37.481092, 127.082486
12,37.481092, 127.082494
12,37.481083, 127.082502
12,37.481074, 127.082502
12,37.481078, 127.082510
13,37.481418,127.080304
13,37.481431, 127.080329
13,37.481440, 127.080313
13,37.481442, 127.080289
13,37.481433, 127.080254
13,37.481450, 127.080275
13,37.481465, 127.080296
14,37.482506,127.079899
14,37.482520, 127.079925
14,37.482537, 127.079906
14,37.482543, 127.079887
14,37.482556, 127.079951
14,37.482567, 127.079927
14,37.482565, 127.079868
15,37.483186,127.079798
15,37.483199, 127.079768
15,37.483205, 127.079741
15,37.483216, 127.079819
15,37.483220, 127.079789
15,37.483218, 127.079800
15,37.483224, 127.079757
16,37.491605,127.082016
16,37.491595, 127.082034
16,37.491578, 127.082047
16,37.491576, 127.082058
16,37.491567, 127.082074
16,37.491622, 127.082042
16,37.491611, 127.082050
