도로,위도,경도,속도제한
0_0,37.482710,127.080003,60
0_0,37.482707,127.080005,60
0_0,37.482701,127.080010,60
0_0,37.482695,127.080018,60
0_0,37.482683,127.080023,60
0_0,37.482672,127.080034,60
0_0,37.482674,127.080061,60
0_0,37.482674,127.080069,60
0_0,37.482672,127.080085,60
0_0,37.482670,127.080101,60
0_0,37.482698,127.080071,60
0_0,37.482724,127.080079,60
0_0,37.482715,127.080087,60
0_0,37.482675,127.080106,60
0_0,37.482666,127.080101,60
0_0,37.482728,127.080082,60
0_0,37.482722,127.080101,60
0_0,37.482709,127.080104,60
0_0,37.482677,127.080112,60
0_0,37.482671,127.080117,60
0_1,37.483250,127.083652,60
0_1,37.483244,127.083655,60
0_1,37.483240,127.083628,60
0_1,37.483251,127.083601,60
0_1,37.483232,127.083596,60
0_1,37.483221,127.083607,60
0_1,37.483217,127.083610,60
0_1,37.483213,127.083605,60
0_1,37.483209,127.083610,60
0_1,37.483205,127.083613,60
0_1,37.483203,127.083626,60
0_1,37.483203,127.083637,60
0_1,37.483209,127.083642,60
0_1,37.483196,127.083642,60
0_1,37.483194,127.083647,60
0_1,37.483188,127.083644,60
0_1,37.483194,127.083633,60
0_1,37.483194,127.083638,60
0_1,37.483239,127.083603,60
0_1,37.483192,127.083622,60
0_1,37.483186,127.083619,60
0_1,37.483182,127.083608,60
1_0,37.485458,127.083210,30
1_0,37.485454,127.083210,30
1_0,37.485448,127.083202,30
1_0,37.485418,127.083202,30
1_0,37.485418,127.083205,30
1_0,37.485412,127.083205,30
1_0,37.485412,127.083208,30
1_0,37.485406,127.083213,30
1_0,37.485395,127.083195,30
1_0,37.485408,127.083208,30
1_0,37.485423,127.083174,30
1_0,37.485397,127.083195,30
1_0,37.485448,127.083192,30
1_0,37.485399,127.083192,30
1_0,37.485399,127.083200,30
1_0,37.485401,127.083197,30
1_0,37.485410,127.083200,30
1_0,37.485414,127.083177,30
1_0,37.485450,127.083184,30
1_0,37.485395,127.083179,30
1_0,37.485391,127.083179,30
1_0,37.485401,127.083195,30
1_0,37.485403,127.083200,30
1_1,37.485350,127.082359,30
1_1,37.485344,127.082356,30
1_1,37.485307,127.082384,30
1_1,37.485305,127.082389,30
1_1,37.485300,127.082373,30
1_1,37.485305,127.082392,30
1_1,37.485334,127.082353,30
1_1,37.485328,127.082353,30
1_1,37.485309,127.082381,30
1_1,37.485338,127.082350,30
1_1,37.485346,127.082368,30
1_1,37.485298,127.082378,30
1_1,37.485352,127.082368,30
1_1,37.485307,127.082379,30
1_1,37.485309,127.082384,30
1_1,37.485300,127.082367,30
1_1,37.485296,127.082375,30
1_1,37.485309,127.082379,30
1_1,37.485344,127.082359,30
1_1,37.485306,127.082364,30
1_1,37.485306,127.082364,30
2_0,37.485490,127.083404,30
2_0,37.485490,127.083407,30
2_0,37.485452,127.083495,30
2_0,37.485452,127.083433,30
